#x_m,y_m,w_tr_right_m,w_tr_left_m
-210.8122689,351.4850452,16.20982891,16.20982891
-212.4740057,346.4643446,16.15998845,16.15998845
-214.1287723,341.4414081,16.11376784,16.11376784
-215.7770678,336.4163992,16.07122071,16.07122071
-217.4209109,331.3899668,16.03179238,16.03179238
-219.0624293,326.3627946,15.99487612,15.99487612
-220.7037495,321.3355656,15.95985011,15.95985011
-222.3468582,316.3089148,15.92601083,15.92601083
-223.9934764,311.283384,15.8925102,15.8925102
-225.6452948,306.2595052,15.85845693,15.85845693
-227.3040043,301.23781,15.82293076,15.82293076
-228.9712958,296.2188302,15.78498593,15.78498593
-230.64886,291.2030974,15.74365718,15.74365718
-232.3383866,286.1911431,15.69796885,15.69796885
-234.0405313,281.1831758,15.64739146,15.64739146
-235.7530655,276.1785038,15.59265763,15.59265763
-237.4732618,271.1762797,15.53473874,15.53473874
-239.1983927,266.1756561,15.47462001,15.47462001
-240.9257305,261.1757854,15.41329237,15.41329237
-242.6525479,256.1758203,15.35174744,15.35174744
-244.3761173,251.1749132,15.29097574,15.29097574
-246.0937112,246.1722168,15.23196799,15.23196799
-247.8026021,241.1668835,15.17571987,15.17571987
-249.5000624,236.158066,15.12324006,15.12324006
-251.1833646,231.1449167,15.07556183,15.07556183
-252.8497813,226.1265883,15.03375798,15.03375798
-254.4965849,221.1022332,14.99895916,14.99895916
-256.1210479,216.071004,14.97237535,14.97237535
-257.7206248,211.0321083,14.95523938,14.95523938
-259.2954114,205.9855552,14.94752367,14.94752367
-260.8448666,200.9312043,14.94690643,14.94690643
-262.3664372,195.868338,14.94994229,14.94994229
-263.8575255,190.7962257,14.95290202,14.95290202
-265.3157795,185.7142085,14.95190443,14.95190443
-266.7430047,180.6228386,14.94483423,14.94483423
-268.1444721,175.5236778,14.93118706,14.93118706
-269.5255588,170.4183186,14.91054099,14.91054099
-270.8916417,165.3083536,14.88250907,14.88250907
-272.2480978,160.1953755,14.84674127,14.84674127
-273.6003042,155.0809768,14.80292668,14.80292668
-274.9536378,149.9667502,14.75079608,14.75079608
-276.3134756,144.8542883,14.69012493,14.69012493
-277.6849537,139.7451141,14.62085635,14.62085635
-279.0709687,134.6401051,14.54409226,14.54409226
-280.473199,129.5397873,14.46156277,14.46156277
-281.8930035,124.4446009,14.37485836,14.37485836
-283.3310616,119.3548039,14.28523521,14.28523521
-284.7879616,114.2706299,14.19388648,14.19388648
-286.2642916,109.1923123,14.10197815,14.10197815
-287.7606399,104.1200849,14.01064437,14.01064437
-289.2775946,99.05418111,13.92098591,13.92098591
-290.8157442,93.99483452,13.83407188,13.83407188
-292.3756766,88.94227871,13.75094493,13.75094493
-293.9579951,83.89674639,13.67262836,13.67262836
-295.5630122,78.85833938,13.5999328,13.5999328
-297.1888138,73.82645039,13.53257438,13.53257438
-298.8326843,68.80022349,13.46990782,13.46990782
-300.4919071,63.77880244,13.41130877,13.41130877
-302.1637657,58.76133103,13.35616653,13.35616653
-303.8455436,53.74695302,13.30387732,13.30387732
-305.5345242,48.73481219,13.25383845,13.25383845
-307.227991,43.72405233,13.20544361,13.20544361
-308.9232274,38.7138172,13.1580792,13.1580792
-310.617517,33.70325059,13.11112186,13.11112186
-312.3081432,28.69149627,13.06393707,13.06393707
-313.992537,23.67774521,13.01589648,13.01589648
-315.670306,18.66188247,12.96671708,12.96671708
-317.3427229,13.64432313,12.9164325,12.9164325
-319.0111034,8.625495736,12.8650888,12.8650888
-320.6767629,3.605828865,12.81273376,12.81273376
-322.3410168,-1.414248915,12.75941663,12.75941663
-324.0051807,-6.434309036,12.70518807,12.70518807
-325.67057,-11.45392293,12.65009998,12.65009998
-327.3385003,-16.47266203,12.59420533,12.59420533
-329.010287,-21.49009777,12.53755812,12.53755812
-330.6872455,-26.50580158,12.48021318,12.48021318
-332.3706915,-31.51934489,12.42222615,12.42222615
-334.0618796,-36.53031904,12.36368552,12.36368552
-335.7601599,-41.53893891,12.30569096,12.30569096
-337.4626455,-46.54615189,12.25053798,12.25053798
-339.1663214,-51.55294726,12.20061331,12.20061331
-340.8681697,-56.5603152,12.15834882,12.15834882
-342.5646599,-61.5694126,12.12598379,12.12598379
-344.251161,-66.58175404,12.10528113,12.10528113
-345.9229098,-71.59889689,12.09806224,12.09806224
-347.5785572,-76.62124586,12.10437584,12.10437584
-349.225083,-81.64639351,12.11951303,12.11951303
-350.8707133,-86.67151161,12.13774839,12.13774839
-352.523674,-91.69377196,12.15298031,12.15298031
-354.1911162,-96.71078311,12.15947169,12.15947169
-355.8743789,-101.722515,12.15517753,12.15517753
-357.5728462,-106.7297319,12.13936188,12.13936188
-359.2859006,-111.7331986,12.11133415,12.11133415
-361.0129245,-116.7336801,12.07046739,12.07046739
-362.7530264,-121.7320132,12.01637193,12.01637193
-364.4544673,-126.7423793,11.97696265,11.97696265
-365.9570873,-131.8074008,12.04218177,12.04218177
-367.4038224,-136.8875119,12.13246218,12.13246218
-368.8889426,-141.9472998,12.18637959,12.18637959
-368.4666592,-146.6150209,12.72141449,12.72141449
-366.7478899,-149.4501486,13.14022189,13.14022189
-364.9911217,-151.5409159,14.45152999,14.45152999
-363.1130654,-153.7069363,16.7420691,16.7420691
-360.4816212,-156.0218497,19.05771804,19.05771804
-356.8701945,-158.1459394,20.87630257,20.87630257
-352.821757,-159.9940211,22.52556863,22.52556863
-348.0765755,-161.3139901,23.51366379,23.51366379
-343.111668,-162.2517598,24.17994003,24.17994003
-337.8363275,-162.1758484,24.26949375,24.26949375
-332.4752208,-161.7218008,24.23314646,24.23314646
-327.4561743,-162.3003344,23.55270083,23.55270083
-322.5945447,-163.394358,22.58492458,22.58492458
-318.5124728,-165.2102773,20.80660933,20.80660933
-314.5855711,-167.0585573,19.14094541,19.14094541
-311.256904,-169.360972,17.18075784,17.18075784
-308.0095453,-171.6988316,15.69852779,15.69852779
-304.7447721,-173.8574349,15.01236069,15.01236069
-301.3564516,-176.1511699,14.95382718,14.95382718
-298.6986088,-180.341689,14.62767396,14.62767396
-296.8110498,-185.2858247,14.34821835,14.34821835
-295.394614,-190.3848982,14.27327183,14.27327183
-294.2363037,-195.5667246,14.3215274,14.3215274
-293.1455835,-200.7678186,14.41971025,14.41971025
-291.997457,-205.9471607,14.49574422,14.49574422
-290.8051993,-211.1089204,14.52631185,14.52631185
-289.5878901,-216.2598184,14.50834834,14.50834834
-288.3344505,-221.3977779,14.45566153,14.45566153
-287.0310948,-226.5199323,14.38494803,14.38494803
-285.6640376,-231.6234152,14.31327481,14.31327481
-284.2216027,-236.7058631,14.25647935,14.25647935
-282.7099938,-241.7691762,14.22116484,14.22116484
-281.1444199,-246.8174023,14.20964958,14.20964958
-279.5384104,-251.8540025,14.22404208,14.22404208
-277.8918623,-256.8777349,14.26079308,14.26079308
-276.1982531,-261.8851504,14.31333502,14.31333502
-274.4499939,-266.872847,14.37532012,14.37532012
-272.6381744,-271.8375682,14.44105298,14.44105298
-270.7581693,-276.7770032,14.50693833,14.50693833
-268.8091026,-281.6896361,14.57126325,14.57126325
-266.7898259,-286.573859,14.63234717,14.63234717
-264.6985287,-291.4278652,14.68868446,14.68868446
-262.5333365,-296.249829,14.73864493,14.73864493
-260.292307,-301.0378693,14.78048798,14.78048798
-257.9726097,-305.7892527,14.81303497,14.81303497
-255.5733286,-310.5017732,14.83721629,14.83721629
-253.0949139,-315.1738631,14.85496088,14.85496088
-250.5378229,-319.8039582,14.86842804,14.86842804
-247.9025132,-324.390494,14.87997949,14.87997949
-245.1894427,-328.9319068,14.8921716,14.8921716
-242.4000279,-333.4272414,14.90727423,14.90727423
-239.5385792,-337.8773808,14.92621823,14.92621823
-236.6099386,-342.2835474,14.94967669,14.94967669
-233.6178693,-346.6464361,14.97766323,14.97766323
-230.5642366,-350.9658135,15.00894255,15.00894255
-227.450702,-355.2413444,15.04201681,15.04201681
-224.2779857,-359.4720709,15.07577598,15.07577598
-221.0451605,-363.655944,15.10998446,15.10998446
-217.7511325,-367.7908049,15.14449851,15.14449851
-214.394808,-371.8744945,15.17917485,15.17917485
-210.9750931,-375.9048539,15.21387095,15.21387095
-207.4909418,-379.8797614,15.24845066,15.24845066
-203.942864,-383.7983091,15.28285779,15.28285779
-200.333239,-387.6610444,15.31708622,15.31708622
-196.6645576,-391.4686013,15.35114791,15.35114791
-192.9393102,-395.2216139,15.38507666,15.38507666
-189.1599876,-398.9207159,15.41892856,15.41892856
-185.3291164,-402.5666053,15.45276916,15.45276916
-181.4501741,-406.1616655,15.48630411,15.48630411
-177.5276625,-409.7100963,15.51871283,15.51871283
-173.5661342,-413.2161869,15.54895055,15.54895055
-169.5701418,-416.684227,15.57577804,15.57577804
-165.5442377,-420.118506,15.59778203,15.59778203
-161.4929745,-423.5233133,15.61340329,15.61340329
-157.4208982,-426.9029309,15.62097632,15.62097632
-153.3315916,-430.260562,15.6194436,15.6194436
-149.2267091,-433.5977805,15.60907468,15.60907468
-145.107707,-436.9164924,15.59033997,15.59033997
-140.9760434,-440.2186277,15.56382654,15.56382654
-136.8331765,-443.5061166,15.53021873,15.53021873
-132.6805643,-446.7808893,15.49027764,15.49027764
-128.5196649,-450.0448759,15.44482344,15.44482344
-124.3519363,-453.3000065,15.39472038,15.39472038
-120.1788367,-456.5482115,15.34086413,15.34086413
